Term ,High School Name,High School CEEB,City,County,Zip Code,Total Attending SUNY Institutions,Attending SUNY Doctoral Institutions,Attending SUNY Comprehensive Colleges,Attending SUNY Technology Colleges,Attending SUNY Community Colleges,Location 1
Fall 2014,International Hs At Laguardia,332889,Long Island City,Queens,11101,13,5,7,0,<4,"Long Island City, NY 11101
(40.74748956700006, -73.94119747799994)"
Fall 2012,Saint Johns Preparatory,332892,Astoria,Queens,11105,21,<4,<4,<4,13,"Astoria, NY 11105
(40.77666627900004, -73.90912699299997)"
Fall 2010,Academy Of American Studies,332896,Long Island City,Queens,11101,15,8,5,<4,<4,"Long Island City, NY 11101
(40.74748956700006, -73.94119747799994)"
Fall 2017,Robert Wagner Jr Arts & Tech,332902,Long Island City,Queens,11101,6,4,<4,<4,0,"Long Island City, NY 11101
(40.74748956700006, -73.94119747799994)"
Fall 2015,High School Of Applied Comm,332905,Long Island City,Queens,11101,<4,0,<4,0,0,"Long Island City, NY 11101
(40.74748956700006, -73.94119747799994)"
Fall 2017,William C. Bryant High School,332915,Long Island City,Queens,11103,26,9,8,<4,8,"Long Island City, NY 11103
(40.76351829200007, -73.91408898899994)"
Fall 2012,Yeshiva Univ Hs For Girls,334144,Holliswood,Queens,11423,8,<4,0,0,6,"Holliswood 114231296, NY
(40.72086091600005, -73.77360009799997)"
Fall 2013,Martin Van Buren High School,334655,Queens Village,Queens,11427,53,<4,4,<4,44,"Queens Village, NY 11427
(40.72846713300004, -73.74799680899997)"
Fall 2011,Queens Academy - Flushing Camp,334732,Flushing,Queens,11354,5,0,0,0,5,"Flushing, NY 11354
(40.767745983000054, -73.82611566299994)"
Fall 2016,Scholars Academy,334873,Rockaway Park,Queens,11694,20,16,4,0,0,"Rockaway Park, NY 11694
(40.57824725800003, -73.84318718899993)"
Fall 2011,George Washington Carver Hs,334896,Springfield Gard,Queens,11413,5,0,<4,<4,<4,"Springfield Gard, NY 11413
(40.67436746900006, -73.75071678199998)"
Fall 2011,Queens Preparatory Academy,335301,Springfield Gard,Queens,11413,6,0,<4,<4,<4,"Springfld Garden, NY 11413
(40.67436746900006, -73.75071678199998)"
Fall 2016,Whitestone Academy,335961,Whitestone,Queens,11357,<4,<4,0,0,<4,"Whitestone, NY 11357
(40.78658592600004, -73.81078648299996)"
Fall 2012,Martin Luther High School,336027,Maspeth,Queens,11378,<4,0,<4,<4,0,"Maspeth 113782712, NY
(40.72234094300006, -73.91542002199998)"
Fall 2017,Berlin Middle - High School,330410,Cherry Plain,Rensselaer,12040,20,<4,4,<4,14,"Berlin 120220259, NY
(42.69301346800006, -73.37265559499997)"
Fall 2015,Hoosac School,332440,Hoosick,Rensselaer,12089,<4,0,0,0,<4,"Hoosick 120890009, NY
(42.86254304300007, -73.32765576899999)"
Fall 2016,Hoosic Valley Jr Sr High Schoo,335095,Schaghticoke,Rensselaer,12154,51,4,9,6,32,"Schaghticoke, NY 12154
(42.929486154000074, -73.60089664799995)"
Fall 2014,Emma Willard School,335600,Troy,Rensselaer,12180,<4,<4,0,0,0,"Troy 121805294, NY
(42.711661237000044, -73.66536022499997)"
Fall 2014,Troy High School,335617,Troy,Rensselaer,12180,122,10,8,<4,103,"Troy 121803792, NY
(42.726770206000026, -73.67320100599994)"
Fall 2015,Concord High School,335342,Staten Island,Richmond,10304,<4,0,0,0,<4,"Staten Island, NY 10304
(40.61093907900005, -74.08739822399997)"
Fall 2014,Michael J Petrides High School,335351,Staten Island,Richmond,10301,17,9,6,<4,<4,"Staten Island, NY 10301
(40.631868971000074, -74.09194744399997)"
Fall 2014,Notre Dame Academy High School,335360,Staten Island,Richmond,10301,13,8,5,0,0,"Staten Island 103014405, NY
(40.62874076400004, -74.08865037199996)"
Fall 2010,Ralph R Mc Kee  High School,335375,Staten Island,Richmond,10301,4,0,0,<4,<4,"Staten Island, NY 10301
(40.631868971000074, -74.09194744399997)"
Fall 2010,Saint Joseph Hill Academy,335385,Staten Island,Richmond,10305,8,5,<4,0,<4,"Staten Island, NY 10305
(40.59910762900006, -74.07469777199998)"
Fall 2010,Staten Island Technical Hs,335401,Staten Island,Richmond,10306,58,50,6,<4,0,"Staten Island, NY 10306
(40.56943993200008, -74.11710937099997)"
Fall 2016,Albertus Magnus High School,330447,Bardonia,Rockland,10954,40,7,6,<4,26,"Bardonia 109541694, NY
(41.12062000700007, -73.99282081699994)"
Fall 2015,Yeshivas Ohr Reuven High Sch,333186,Suffern,Rockland,10901,<4,0,0,0,<4,"Suffern, NY 10901
(41.131855, -74.109294)"
Fall 2010,Clarkstown High School North,333325,New City,Rockland,10956,150,41,23,5,81,"New City, NY 10956
(41.14760808800003, -73.99408922999999)"
Fall 2010,Tappan Zee High School,334515,Orangeburg,Rockland,10962,101,18,17,<4,63,"Orangeburg 109621799, NY
(41.04946046900005, -73.95516042199995)"
Fall 2015,Yrsrh Of Monsey,335311,Spring Valley,Rockland,10977,6,0,0,0,6,"Spring Valley, NY 10977
(41.11814895100008, -74.04680718199995)"
Fall 2012,Summit School,335678,Upper Nyack,Rockland,10960,10,<4,<4,<4,6,"Upper Nyack 109601598, NY
(41.10227091100006, -73.91732077999995)"
Fall 2016,Shenendehowa High School,331845,Clifton Park,Saratoga,12065,373,83,86,12,192,"Clifton Park 120653688, NY
(42.86867104100003, -73.80834027199995)"
Fall 2014,Augustine Classical Academy,333097,Mechanicville,Saratoga,12118,<4,0,0,0,<4,"Mechanicville, NY 12118
(42.917589, -73.7220049999999)"
Fall 2015,Schuylerville Jr. Sr. Hs,335140,Schuylerville,Saratoga,12871,54,5,9,4,36,"Schuylerville 128711098, NY
(43.10418076800005, -73.58025059499994)"
Fall 2013,Waterford - Halfmoon Jr - Sr,335800,Waterford,Saratoga,12188,36,0,4,<4,31,"Waterford 121881590, NY
(42.81078070800004, -73.68460057299995)"
Fall 2011,Notre Dame Bishop Gibbons H S,335098,Schenectady,Schenectady,12304,18,<4,6,0,11,"Schenectady 123041899, NY
(42.781990516000064, -73.91008122099998)"
Fall 2013,Mont Pleasant High School,335105,Schenectady,Schenectady,12303,<4,0,0,0,<4,"Schenectady, NY 12303
(42.7492799999999, -73.924875)"
Fall 2017,Scotia - Glenville High School,335150,Scotia,Schenectady,12302,94,12,16,<4,63,"Scotia, NY 12302
(42.85917962000008, -73.95451926499999)"
Fall 2015,Gilboa - Conesville Central Sc,332090,Gilboa,Schoharie,12076,17,<4,<4,13,0,"Gilboa, NY 12076
(42.41502881300005, -74.37960853299995)"
Fall 2010,Richmondville Central School,334740,Richmondville,Schoharie,12149,<4,0,0,<4,0,"Richmondville, NY 12149
(42.62683914100006, -74.56123845299999)"
Fall 2016,Bradford Central School,330475,Bradford,Schuyler,14815,<4,0,<4,<4,<4,"Bradford 148159602, NY
(42.36689092900008, -77.09307111499999)"
Fall 2013,Mynderse Academy,335165,Seneca Falls,Seneca,13148,56,0,7,5,44,"Seneca Falls 131481430, NY
(42.910620900000026, -76.79457000399998)"
Fall 2016,St. Lawrence Central High Scho,330485,Brasher Falls,St. Lawrence,13613,23,<4,9,12,0,"Brasher Falls 136130307, NY
(44.805942456000025, -74.77480784499994)"
Fall 2012,Edwards Central School,331765,Edwards,St. Lawrence,13635,<4,0,0,<4,0,"Edwards, NY 13635
(44.300151, -75.265641)"
Fall 2016,Heuvelton Central School,332355,Heuvelton,St. Lawrence,13654,22,0,7,13,<4,"Heuvelton, NY 13654
(44.595787073000054, -75.42309636399995)"
Fall 2015,Massena Central High School,333065,Massena,St. Lawrence,13662,94,<4,40,35,16,"Massena 136621998, NY
(44.92902888500004, -74.89222026599998)"
Fall 2016,Ogdensburg Free Academy,334280,Ogdensburg,St. Lawrence,13669,42,<4,17,13,11,"Ogdensburg 136693398, NY
(44.68887991500003, -75.48549067899995)"
Fall 2017,Edwards - Knox Central School,334949,Hermon,St. Lawrence,13652,21,<4,7,8,5,"Hermon, NY 13652
(44.44510662700003, -75.22259608599995)"
Fall 2016,Addison Central School,330010,Addison,Steuben,14801,4,0,<4,<4,<4,"Addison, NY 14801
(42.09623575900008, -77.27399918699996)"
Fall 2014,Haverling High School,330340,Bath,Steuben,14810,20,<4,<4,11,4,"Bath 148101107, NY
(42.33967038600008, -77.32290097499998)"
Fall 2013,Corning Painted Post Hs,331490,Corning,Steuben,14830,100,5,4,4,87,"Corning 148302097, NY
(42.14670053700007, -77.04890059299998)"
Fall 2010,Hornell High School,332460,Hornell,Steuben,14843,74,4,5,46,19,"Hornell, NY 14843
(42.32715976600008, -77.65392646799995)"
Fall 2017,Wayland - Cohocton High School,335850,Wayland,Steuben,14572,46,<4,13,6,25,"Wayland 145729404, NY
(42.56326023400004, -77.60254014599997)"
Fall 2015,Babylon Jr Sr High School,330285,Babylon,Suffolk,11702,68,8,10,12,38,"Babylon 117022221, NY
(40.698841006000066, -73.33116046999999)"
Fall 2013,Bay Shore High School,330350,Bay Shore,Suffolk,11706,216,12,19,28,157,"Bay Shore, NY 11706
(40.73906894600003, -73.25924886499996)"
Fall 2010,Academy Of Saint Joseph,330490,Brentwood,Suffolk,11717,<4,0,0,0,<4,"Brentwood, NY 11717
(40.78298826200006, -73.24417604099995)"
Fall 2013,Madonna Heights High School,330700,Dix Hills,Suffolk,11746,<4,0,0,0,<4,"Dix Hills 117469020, NY
(40.81464195900003, -73.32300996599997)"
Fall 2014,Our Savior New American Sch,331284,Centereach,Suffolk,11720,12,<4,<4,0,9,"Centereach, NY 11720
(40.86831982500007, -73.08198567599999)"
Fall 2014,Cold Spring Harbor High School,331437,Cold Spring Harb,Suffolk,11724,25,11,11,<4,<4,"Cold Spring Harb, NY 11724
(40.86785925400005, -73.45258857499994)"
Fall 2015,Longwood Senior High School,331478,Middle Island,Suffolk,11953,410,50,34,15,311,"Middle Island 119532056, NY
(40.86657073500004, -72.91893006899994)"
Fall 2015,Upper Room Christian School,331639,Dix Hills,Suffolk,11746,11,0,<4,<4,8,"Dix Hills, NY 11746
(40.82377917300005, -73.38265571099998)"
Fall 2012,East Islip High School,331705,Islip Terrace,Suffolk,11752,209,31,39,21,118,"Islip Terrace 117522898, NY
(40.74976064900005, -73.18451085399994)"
Fall 2010,Ward Melville High School,331740,East Setauket,Suffolk,11733,311,69,74,9,159,"East Setauket 117333482, NY
(40.91607010000007, -73.07220059699995)"
Fall 2012,Greenport High School,332185,Greenport,Suffolk,11944,15,<4,<4,0,12,"Greenport, NY 11944
(41.104857579000054, -72.36863570799994)"
Fall 2013,Elwood John H Glenn  Hs,332489,East Northport,Suffolk,11731,91,15,33,6,37,"East Northport 117314890, NY
(40.85490105400004, -73.33301019299995)"
Fall 2011,Walt Whitman High School,332495,Huntington Sta,Suffolk,11746,203,35,23,37,108,"Huntington Sta, NY 11746
(40.82377917300005, -73.38265571099998)"
Fall 2012,Sachem North High School,332762,Lake Ronkonkoma,Suffolk,11779,306,31,30,33,212,"Lake Ronkonkoma, NY 11779
(40.81738767000007, -73.11729753599997)"
Fall 2010,Mattituck High School,333070,Mattituck,Suffolk,11952,45,<4,12,6,24,"Mattituck 119520987, NY
(40.99197381600004, -72.53242766799997)"
Fall 2016,North Babylon High School,334193,North Babylon,Suffolk,11703,186,20,23,43,100,"North Babylon 117034097, NY
(40.72493005700005, -73.32286037099993)"
Fall 2017,Comsewogue High School,334587,Port Jefferson S,Suffolk,11776,162,25,19,6,112,"Port Jefferson S, NY 11776
(40.91392934800007, -73.04753847199999)"
Fall 2017,Rocky Point High School,334887,Rocky Point,Suffolk,11778,127,16,21,5,85,"Rocky Point, NY 11778
(40.954529079000054, -72.93424679899994)"
Fall 2015,Smithtown High School East,335001,St. James,Suffolk,11780,234,49,57,11,117,"St. James 117802705, NY
(40.876950839000074, -73.14974080499996)"
Fall 2014,Shoreham - Wading River Hs,335186,Shoreham,Suffolk,11786,101,19,23,4,55,"Shoreham 117869745, NY
(40.96125372100005, -72.90929787499994)"
Fall 2011,Smithtown Christian School,335219,Smithtown,Suffolk,11787,10,<4,<4,<4,5,"Smithtown, NY 11787
(40.85278643000004, -73.20514920199997)"
Fall 2016,Southold Jr. Sr. High School,335282,Southold,Suffolk,11971,21,<4,<4,<4,14,"Southold, NY 11971
(41.058187875000044, -72.42385638299999)"
Fall 2017,Saint John The Baptist Diocesa,335898,West Islip,Suffolk,11795,126,29,22,34,41,"West Islip 117954959, NY
(40.69612119200008, -73.29243082099998)"
Fall 2011,Ross School,339007,East Hampton,Suffolk,11937,<4,<4,0,0,0,"11937 East
Hampton, NY
(40.9899279999999, -72.185879)"
Fall 2016,Tri - Valley Secondary School,332155,Grahamsville,Sullivan,12740,41,<4,7,<4,32,"Grahamsville 127405605, NY
(41.85037029800003, -74.53746071199998)"
Fall 2015,Livingston Manor Central Sch,332855,Livingston Manor,Sullivan,12758,17,<4,0,5,10,"Livingston Manor, NY 12758
(41.90176634800008, -74.80639669899995)"
Fall 2015,Fallsburg High School,336020,Fallsburg,Sullivan,12733,37,<4,6,<4,29,"Fallsburg 127330124, NY
(41.73179015800008, -74.60510933099994)"
Fall 2013,Newark Valley High School,333295,Newark Valley,Tioga,13811,59,<4,4,6,47,"Newark Valley 138110547, NY
(42.224183036000056, -76.18349978399993)"
Fall 2014,Spencer - Van Etten Central Sc,335715,Spencer,Tioga,14883,22,<4,<4,5,12,"Spencer, NY 14883
(42.23503696000006, -76.48687971599998)"
Fall 2012,Dryden Central High School,331655,Dryden,Tompkins,13053,63,<4,6,<4,54,"Dryden, NY 13053
(42.485947992000035, -76.27798923099994)"
Fall 2017,Cascadilla School,332530,Ithaca,Tompkins,14850,<4,0,0,0,<4,"Ithaca, NY 14850
(42.44804651000004, -76.49291927399997)"
Fall 2015,Lansing High School,332930,Lansing,Tompkins,14882,47,6,6,<4,32,"Lansing 148828930, NY
(42.54294067400008, -76.53138041499994)"
Fall 2015,Highland High School,332370,Highland,Ulster,12528,74,9,16,<4,47,"Highland 125282317, NY
(41.725050992000035, -74.01069067799995)"
Fall 2013,Kingston High School,332705,Kingston,Ulster,12401,283,10,26,8,239,"Kingston, NY 12401
(41.93264630200008, -74.01388942099999)"
Fall 2012,Ulster County B O C E S,334578,Port Ewen,Ulster,12466,<4,0,0,0,<4,"12466 Port
Ewen, NY
(41.903399, -73.9795479999999)"
Fall 2015,Woodstock Day School,336023,Woodstock,Ulster,12498,<4,0,0,0,<4,"Woodstock, NY 12498
(42.03786930000007, -74.11223861999997)"
Fall 2016,Glens Falls High School,332103,Glens Falls,Warren,12801,60,<4,11,<4,44,"Glens Falls, NY 12801
(43.31139910200005, -73.64803995699998)"
Fall 2016,Hadley - Luzerne Central  H S,332745,Lake Luzerne,Warren,12846,26,<4,7,<4,16,"Lake Luzerne 128460200, NY
(43.31676031300003, -73.84015674999995)"
Fall 2012,Warrensburg Central School,335775,Warrensburg,Warren,12885,36,0,4,<4,31,"Warrensburg, NY 12885
(43.517447953000044, -73.79071690299997)"
Fall 2010,Cambridge High School,331165,Cambridge,Washington,12816,51,<4,5,6,39,"Cambridge, NY 12816
(43.048278604000075, -73.38786971799993)"
Fall 2011,The Adirondack School,332193,Greenwich,Washington,12834,<4,0,0,0,<4,"Greenwich, NY 12834
(43.09530894400007, -73.49827630799996)"
Fall 2017,Truthville Christian Academy,334204,North Granville,Washington,12854,<4,0,0,<4,<4,"12854 North
Granville, NY
(43.499951, -73.35214)"
Fall 2017,Marion Jr. Sr. High School,333050,Marion,Wayne,14505,23,0,4,<4,16,"Marion 145050999, NY
(43.142602718000035, -77.18949618699997)"
Fall 2014,Heritage Baptist Christian Sch,334398,Palmyra,Wayne,14522,<4,0,0,0,<4,"Palmyra, NY 14522
(43.05989714900005, -77.22467902999995)"
Fall 2010,Sodus Central School,335235,Sodus,Wayne,14551,57,<4,<4,4,49,"Sodus 145510220, NY
(43.236083387000065, -77.06114754299995)"
Fall 2016,Ardsley High School,330210,Ardsley,Westchester,10502,47,18,8,<4,20,"Ardsley, NY 10502
(41.01190922200004, -73.84201838299998)"
Fall 2010,Briarcliff High School,330505,Briarcliff Manor,Westchester,10510,27,6,6,<4,13,"Briarcliff Manor, NY 10510
(41.14739952800005, -73.83369769699993)"
Fall 2016,Dobbs Ferry High School,331630,Dobbs Ferry,Westchester,10522,39,7,9,<4,21,"Dobbs Ferry 105221118, NY
(41.020410120000065, -73.86989021599999)"
Fall 2013,The Masters School,331635,Dobbs Ferry,Westchester,10522,5,<4,<4,0,<4,"Dobbs Ferry 105222200, NY
(41.012590500000044, -73.87167023199999)"
Fall 2011,Harrison High School,332275,Harrison,Westchester,10528,56,13,5,5,33,"Harrison 105281610, NY
(40.98036101900004, -73.73721060799994)"
Fall 2015,Hawthorne Cedar Knolls H S,332301,Hawthorne,Westchester,10532,4,0,0,0,4,"Hawthorne, NY 10532
(41.10226795600005, -73.79784705699996)"
Fall 2016,The Harvey School,332644,Katonah,Westchester,10536,5,<4,<4,0,<4,"Katonah, NY 10536
(41.26556629800007, -73.68859623899993)"
Fall 2014,John F Kennedy Catholic,332650,Somers,Westchester,10589,22,5,5,0,12,"Somers 105899706, NY
(41.325800325000046, -73.68855686199998)"
Fall 2010,Rye Neck High School,333000,Mamaroneck,Westchester,10543,33,6,<4,<4,21,"Mamaroneck, NY 10543
(40.95122687500003, -73.73492703199997)"
Fall 2016,Mount Vernon High School,333260,Mount Vernon,Westchester,10552,107,<4,8,<4,96,"Mount Vernon, NY 10552
(40.92288874900004, -73.82952649199996)"
Fall 2016,Blessed Sacrament / Saint Gabr,333360,New Rochelle,Westchester,10801,<4,0,0,0,<4,"New Rochelle 108017122, NY
(40.90559041500006, -73.78345117599997)"
Fall 2015,New Rochelle High School #2,333368,New Rochelle,Westchester,10801,32,13,9,4,6,"New Rochelle, NY 10801
(40.914906974000075, -73.78559848699996)"
Fall 2013,Thornton - Donovan School,333380,New Rochelle,Westchester,10804,<4,<4,0,<4,<4,"New Rochelle, NY 10804
(40.951166045000036, -73.78921787599995)"
Fall 2011,Riverside High School,333779,Yonkers,Westchester,10701,30,4,<4,<4,22,"Yonkers, NY 10701
(40.946347434000074, -73.88071934699997)"
Fall 2016,Peekskill High School,334465,Peekskill,Westchester,10566,87,7,4,<4,73,"Peekskill, NY 10566
(41.289889638000034, -73.91778658899995)"
Fall 2012,Mount Pleasant Cottage School,334559,Pleasantville,Westchester,10570,<4,0,0,<4,0,"Pleasantville, NY 10570
(41.13511619800005, -73.78533778599996)"
Fall 2015,Keio Academy Of New York,334643,Purchase,Westchester,10577,<4,0,<4,0,0,"Purchase, NY 10577
(41.038508, -73.712536)"
Fall 2015,Rye High School,334970,Rye,Westchester,10580,37,12,10,0,15,"Rye 105803896, NY
(40.97368036000006, -73.68514080199998)"
Fall 2013,Scarsdale High School,335090,Scarsdale,Westchester,10583,28,14,4,0,10,"Scarsdale, NY 10583
(40.98808990100008, -73.80021942999997)"
Fall 2012,Hackley School,335540,Tarrytown,Westchester,10591,5,<4,<4,<4,<4,"Tarrytown, NY 10591
(41.07763612000008, -73.85785592799994)"
Fall 2010,Eastchester High School,335630,Eastchester,Westchester,10709,59,11,11,9,28,"Eastchester, NY 10709
(40.95577609600008, -73.81186838999997)"
Fall 2016,Archbishop Stepinac High Schoo,335940,White Plains,Westchester,10605,73,22,13,7,31,"White Plains, NY 10605
(41.01400785900006, -73.75384953099996)"
Fall 2017,Fusion Academy,335952,White Plains,Westchester,10604,<4,0,0,0,<4,
Fall 2011,Gorton High School,336045,Yonkers,Westchester,10703,100,<4,4,<4,92,"Yonkers 107032103, NY
(40.954380263000076, -73.88735054899996)"
Fall 2014,Lincoln High School,336062,Yonkers,Westchester,10704,107,<4,10,<4,94,"Yonkers, NY 10704
(40.91798758300007, -73.85950702999997)"
Fall 2013,Yonkers High School,336074,Yonkers,Westchester,10705,94,26,10,<4,56,"Yonkers, NY 10705
(40.91786592300008, -73.89512738499997)"
Fall 2010,Yorktown High School,336085,Yorktown Heights,Westchester,10598,135,18,37,4,76,"Yorktown Heights 105983195, NY
(41.29474036400006, -73.80265044599997)"
Fall 2016,Letchworth Central School,332025,Gainesville,Wyoming,14066,33,4,<4,7,21,"Gainesville 140669788, NY
(42.63024109300005, -78.11200046399995)"
Fall 2011,Penn Yan Academy,334480,Penn Yan,Yates,14527,82,<4,12,4,65,"Penn Yan, NY 14527
(42.65357830500005, -77.06080714699993)"
Fall 2016,Helen Hayes Hospital/School,335890,West Haverstraw,Rockland,10993,<4,0,0,0,<4,"West Haverstraw, NY 10993
(41.208862, -73.978456)"
Fall 2010,Tioga Center Christian School,335572,Tioga Center,Tioga,13845,<4,0,0,0,<4,"Tioga Center, NY 13845
(42.055675, -76.348081)"
